dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-6,clarabel_1e-8,cuopt_1e-4,cvxopt_1e-6,highs_1e-6,osqp_1e-4,osqp_1e-6,osqp_1e-8,pdlp_1e-5,pdlp_cert4_1e-5,piqp_1e-6,qpo3_1e-6,qpo3_1e-8,qtqp_cudss_1e-8,qtqp_mkl_1e-8,scs_cpu_1e-4,scs_cpu_1e-6,scs_cpu_1e-8,scs_cudss_1e-4,scs_cudss_1e-6,scs_cudss_1e-8,sdpa_1e-6,clarabel_1e-6_status,clarabel_1e-8_status,cuopt_1e-4_status,cvxopt_1e-6_status,highs_1e-6_status,osqp_1e-4_status,osqp_1e-6_status,osqp_1e-8_status,pdlp_1e-5_status,pdlp_cert4_1e-5_status,piqp_1e-6_status,qpo3_1e-6_status,qpo3_1e-8_status,qtqp_cudss_1e-8_status,qtqp_mkl_1e-8_status,scs_cpu_1e-4_status,scs_cpu_1e-6_status,scs_cpu_1e-8_status,scs_cudss_1e-4_status,scs_cudss_1e-6_status,scs_cudss_1e-8_status,sdpa_1e-6_status
netlib_infeasible,bgdbg1,407.0,755.0,1847.0,0.0,0.01,0.01,0.36,,0.01,0.01,0.01,0.01,0.16,0.01,0.0,0.0,0.0,10.3,0.09,0.18,0.79,0.06,0.6,0.38,0.42,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,bgetam,688.0,1088.0,3097.0,0.0,0.01,0.01,0.35,,0.01,0.06,0.06,0.07,0.18,0.02,0.01,0.0,0.0,1.55,0.08,0.02,0.02,0.02,0.45,0.3,0.32,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,bgindy,10116.0,12787.0,75618.0,0.0,0.27,0.26,0.39,,0.04,9.11,9.13,10.14,0.42,0.08,0.26,0.03,0.02,1.79,0.55,0.46,0.49,0.54,0.79,68.99,0.59,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,bgprtr,34.0,54.0,98.0,0.0,0.0,0.0,0.33,,0.0,0.8,0.0,0.0,0.05,0.01,0.0,0.0,0.0,1.76,0.03,0.01,0.01,0.01,0.46,0.32,0.36,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,box1,261.0,492.0,912.0,0.0,0.0,0.0,0.72,,0.01,0.0,0.0,0.0,0.09,0.02,59.92,0.0,0.0,6.68,0.04,0.01,0.01,0.01,0.48,0.3,0.3,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,ceria3d,824.0,3576.0,17602.0,0.0,0.06,0.06,0.32,,0.01,3.97,3.99,4.19,41.99,0.88,390.0,0.01,0.01,1.76,0.17,0.12,1.59,0.13,0.64,0.55,0.42,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,time_limit,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,chemcom,720.0,1008.0,2286.0,0.0,0.01,0.01,0.31,,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,1.66,0.07,0.02,0.02,0.02,0.44,0.3,0.31,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,cplex1,3221.0,6226.0,12165.0,0.0,0.04,0.04,0.32,,0.24,21.65,22.06,22.58,34.2,0.03,0.03,0.04,0.04,1.73,0.18,0.11,0.14,0.13,0.62,0.39,0.39,,dual_infeasible,dual_infeasible,solver_error,,solver_error,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,primal_infeasible,primal_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,dual_infeasible,
netlib_infeasible,cplex2,221.0,445.0,1279.0,0.0,0.01,0.01,0.58,,0.01,0.01,0.02,7.74,300.0,300.0,85.56,0.01,0.02,4.14,0.9,0.02,13.89,4.28,0.53,129.61,128.76,,optimal,optimal,optimal,,primal_infeasible,optimal,optimal,max_iter_reached,time_limit,time_limit,max_iter_reached,optimal,solver_error,optimal_inaccurate,optimal_inaccurate,optimal,optimal,primal_infeasible,optimal,optimal_inaccurate,optimal_inaccurate,
netlib_infeasible,ex72a,215.0,412.0,682.0,0.0,0.0,0.0,0.48,,0.01,0.01,0.01,0.01,0.84,0.03,52.52,0.0,0.0,1.64,0.05,0.01,0.01,0.01,0.48,0.3,0.3,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,ex73a,211.0,404.0,668.0,0.0,0.0,0.0,0.47,,0.01,0.0,0.01,0.01,0.33,0.02,51.29,0.0,0.0,1.66,0.04,0.01,0.01,0.01,0.46,0.3,0.29,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,forest6,95.0,161.0,305.0,0.0,0.0,0.0,0.5,,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,6.96,0.04,0.01,0.01,0.01,0.49,0.28,0.32,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,galenet,8.0,16.0,24.0,0.0,0.0,0.0,0.29,,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.52,0.02,0.0,0.0,0.0,0.51,0.28,0.29,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,gosh,10733.0,14283.0,107722.0,0.0,5.1,5.65,0.3,,0.05,300.0,300.0,300.0,300.04,79.19,390.0,0.02,0.02,12.63,5.4,3.39,3.39,3.65,5.39,4.38,3.23,,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible,,primal_infeasible,time_limit,time_limit,time_limit,time_limit,primal_infeasible,time_limit,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,gran,2520.0,5178.0,22626.0,0.0,1.11,1.25,0.31,,0.02,0.06,0.05,0.07,300.01,43.76,5.4,0.01,0.01,2.0,0.58,0.2,0.19,0.22,0.77,0.5,0.61,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,time_limit,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,greenbea,5405.0,7794.0,36284.0,0.0,3.43,3.73,0.32,,0.04,300.0,300.0,300.0,23.18,2.87,0.19,0.02,0.01,2.17,0.84,0.29,0.29,0.39,0.74,0.53,0.55,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,time_limit,time_limit,time_limit,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,itest2,4.0,13.0,21.0,0.0,0.0,0.0,0.26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.02,0.0,0.0,0.0,0.45,0.28,0.31,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,itest6,8.0,19.0,28.0,0.0,0.0,0.0,0.27,,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,1.5,0.02,0.0,0.0,0.0,0.45,0.29,0.29,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,klein1,54.0,108.0,750.0,0.0,0.0,0.0,0.44,,0.01,4.28,4.3,4.59,37.87,0.05,0.0,0.0,0.0,6.85,0.07,0.01,0.01,0.01,0.53,0.37,0.35,,primal_infeasible,primal_infeasible,primal_infeasible,,solver_error,max_iter_reached,max_iter_reached,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,klein2,54.0,531.0,4639.0,0.0,0.01,0.01,0.53,,0.02,12.09,11.9,13.37,12.96,0.01,0.01,0.01,0.01,1.69,0.08,0.02,0.03,0.02,0.5,0.34,0.33,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,max_iter_reached,max_iter_reached,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,klein3,88.0,1082.0,12195.0,0.0,0.03,0.03,0.46,,0.05,30.54,30.41,35.61,120.0,0.02,0.02,0.03,0.02,1.7,0.11,0.02,0.05,0.02,0.48,0.34,0.3,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,max_iter_reached,max_iter_reached,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,mondou2,604.0,916.0,1812.0,0.0,0.0,0.0,0.27,,0.01,0.02,0.02,0.02,0.15,0.01,134.89,0.0,0.0,1.72,0.1,0.13,0.27,0.04,0.66,0.41,0.39,,dual_infeasible,dual_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,dual_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,pang,460.0,805.0,3096.0,0.0,0.02,0.02,0.61,,0.02,19.85,4.37,4.53,202.22,9.17,170.16,0.02,0.01,1.91,0.2,0.06,4.16,2.93,0.75,38.81,19.91,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,optimal,primal_infeasible,primal_infeasible,optimal,primal_infeasible,primal_infeasible,
netlib_infeasible,pilot4i,1000.0,1322.0,6053.0,0.0,0.05,0.05,0.28,,0.03,38.88,39.51,40.76,122.11,8.22,0.02,0.0,0.0,1.85,0.29,0.07,0.07,0.08,0.67,0.51,0.39,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,max_iter_reached,max_iter_reached,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,qual,464.0,787.0,2110.0,0.0,0.03,0.03,0.6,,0.01,6.09,15.26,15.75,300.0,39.77,176.81,0.01,0.01,2.49,0.51,0.95,45.41,69.59,3.77,187.42,187.18,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,optimal,max_iter_reached,max_iter_reached,time_limit,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,
netlib_infeasible,reactor,637.0,955.0,3057.0,0.0,0.02,0.02,0.3,,0.01,20.3,20.37,21.36,90.75,11.12,286.34,0.0,0.0,1.9,0.2,0.02,12.56,0.03,0.48,27.6,0.3,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,max_iter_reached,max_iter_reached,max_iter_reached,primal_infeasible,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,dual_infeasible,primal_infeasible,dual_infeasible,dual_infeasible,primal_infeasible,dual_infeasible,
netlib_infeasible,refinery,464.0,787.0,2090.0,0.0,0.01,0.01,0.51,,0.01,3.78,3.77,3.87,2.82,0.35,0.01,0.01,0.01,1.74,0.12,0.07,0.07,0.12,0.82,0.52,0.57,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
netlib_infeasible,vol1,464.0,787.0,2110.0,0.0,0.02,0.02,0.56,,0.02,6.63,15.19,15.71,300.0,17.95,281.65,0.01,0.01,2.32,0.38,0.61,44.33,69.61,3.16,187.82,185.86,,primal_infeasible,primal_infeasible,primal_infeasible,,solver_error,optimal,max_iter_reached,max_iter_reached,time_limit,primal_infeasible,max_iter_reached,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,
netlib_infeasible,woodinfe,89.0,124.0,229.0,0.0,0.0,0.0,0.29,,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,1.66,0.04,0.01,0.01,0.01,0.39,0.3,0.29,,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,primal_infeasible,
sdplib_infeasible,infd1,10.0,465.0,4650.0,,,0.26,,0.43,,,,,,,,,,,,0.13,,,0.89,,,0.03,,dual_infeasible,,primal_infeasible_inaccurate,,,,,,,,,,,,dual_infeasible,,,dual_infeasible,,,dual_infeasible
sdplib_infeasible,infd2,10.0,465.0,4650.0,,,0.19,,0.14,,,,,,,,,,,,0.02,,,0.63,,,0.02,,dual_infeasible,,primal_infeasible_inaccurate,,,,,,,,,,,,dual_infeasible,,,dual_infeasible,,,dual_infeasible
sdplib_infeasible,infp1,10.0,465.0,4650.0,,,0.15,,0.15,,,,,,,,,,,,0.01,,,0.69,,,0.03,,primal_infeasible_inaccurate,,primal_infeasible_inaccurate,,,,,,,,,,,,primal_infeasible,,,primal_infeasible,,,primal_infeasible
sdplib_infeasible,infp2,10.0,465.0,4650.0,,,0.19,,0.15,,,,,,,,,,,,0.01,,,0.6,,,0.03,,primal_infeasible_inaccurate,,primal_infeasible_inaccurate,,,,,,,,,,,,primal_infeasible,,,primal_infeasible,,,primal_infeasible
