dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-4,clarabel_1e-6,cuopt_1e-4,cuopt_1e-5,cuopt_1e-6,highs_1e-4,highs_1e-6,osqp_1e-4,osqp_1e-5,osqp_1e-6,pdlp_1e-4,pdlp_1e-5,pdlp_1e-6,piqp_1e-4,piqp_1e-6,qtqp_cudss_1e-4,qtqp_cudss_1e-6,qtqp_cudss_1e-8,qtqp_mkl_1e-4,qtqp_mkl_1e-6,qtqp_mkl_1e-8,scs_cpu_1e-4,scs_cpu_1e-5,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-5,scs_cudss_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,cuopt_1e-4_status,cuopt_1e-5_status,cuopt_1e-6_status,highs_1e-4_status,highs_1e-6_status,osqp_1e-4_status,osqp_1e-5_status,osqp_1e-6_status,pdlp_1e-4_status,pdlp_1e-5_status,pdlp_1e-6_status,piqp_1e-4_status,piqp_1e-6_status,qtqp_cudss_1e-4_status,qtqp_cudss_1e-6_status,qtqp_cudss_1e-8_status,qtqp_mkl_1e-4_status,qtqp_mkl_1e-6_status,qtqp_mkl_1e-8_status,scs_cpu_1e-4_status,scs_cpu_1e-5_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-5_status,scs_cudss_1e-6_status
kennington,cre-a,4067.0,7583.0,19054.0,0.0,0.09,0.1,0.41,0.6,0.39,0.11,0.11,0.28,1.1,2.16,1.1,1.63,2.48,0.05,0.06,11.37,1.95,2.0,0.22,0.34,0.37,0.51,0.9,0.58,6.25,1.29,0.81,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
kennington,cre-b,72447.0,82095.0,328542.0,0.0,20.29,22.03,0.9,1.25,1.18,1.72,1.64,4.05,29.84,69.1,21.09,53.39,164.49,6.27,7.91,6.52,5.66,7.32,5.15,8.02,8.91,11.13,13.17,14.91,18.38,12.91,9.75,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
kennington,cre-c,3678.0,6746.0,16922.0,0.0,0.1,0.11,0.37,0.57,0.39,0.09,0.09,0.25,1.53,2.97,0.63,3.86,4.32,0.05,0.06,2.13,2.05,2.11,0.24,0.36,0.41,0.42,0.48,0.39,1.67,1.44,0.79,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
kennington,cre-d,69980.0,78906.0,312626.0,0.0,16.77,19.17,0.62,0.95,1.28,0.92,0.83,4.23,13.51,75.22,14.11,39.13,134.32,5.06,6.45,6.17,5.22,7.07,7.17,11.23,12.22,9.85,11.74,10.93,12.56,11.12,7.16,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
kennington,ken-07,3602.0,6028.0,12006.0,0.0,0.06,0.07,0.33,0.48,0.35,0.05,0.05,0.13,0.35,0.79,0.24,0.48,0.56,0.02,0.02,2.02,2.39,1.85,0.2,0.3,0.29,34.45,36.19,30.58,53.16,34.26,23.44,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
kennington,ken-11,21349.0,36043.0,70407.0,0.0,0.58,0.58,,0.54,,0.36,0.35,11.75,27.79,48.58,2.15,4.37,5.92,0.17,0.2,2.51,2.52,3.0,0.95,1.68,2.01,300.4,300.37,300.45,300.52,300.88,300.53,optimal,optimal,worker_error,optimal,worker_error,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate
kennington,ken-13,42659.0,71291.0,139905.0,0.0,1.43,1.31,0.55,0.9,0.72,1.06,1.04,22.17,31.05,41.82,5.11,11.09,26.9,0.5,0.63,3.68,3.63,5.12,2.11,4.17,5.05,32.43,42.37,42.71,17.88,55.32,23.5,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
kennington,ken-18,154699.0,259826.0,512870.0,0.0,4.62,4.68,0.77,1.21,1.06,3.91,3.99,300.03,300.04,300.02,27.73,102.6,135.06,5.39,7.18,10.23,13.16,18.72,11.47,26.03,35.43,302.26,302.26,302.49,284.07,303.04,302.32,dual_infeasible,dual_infeasible,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal
kennington,osa-07,23949.0,25067.0,167643.0,0.0,0.8,0.88,0.37,0.53,0.37,0.37,0.35,38.69,128.07,138.12,4.38,8.55,11.05,0.23,0.28,2.3,2.21,2.47,0.73,1.07,1.37,3.38,3.86,3.86,2.73,3.67,3.11,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
kennington,osa-14,52460.0,54797.0,367220.0,0.0,2.21,2.35,0.51,0.72,0.51,1.09,1.08,300.01,300.01,300.01,10.45,24.94,28.66,0.61,0.79,3.48,3.48,3.99,1.78,2.97,3.45,7.38,8.01,8.05,5.24,7.58,5.58,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
