dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-4,clarabel_1e-6,cuopt_1e-4,cuopt_1e-5,highs_1e-4,pdlp_1e-4,pdlp_1e-5,piqp_1e-4,qpo3_1e-4,qpo3_1e-6,qpo3_1e-8,qtqp_cudss_1e-4,qtqp_cudss_1e-6,qtqp_mkl_1e-4,qtqp_mkl_1e-6,scs_cpu_1e-4,scs_cpu_1e-5,scs_cudss_1e-4,scs_cudss_1e-5,clarabel_1e-4_status,clarabel_1e-6_status,cuopt_1e-4_status,cuopt_1e-5_status,highs_1e-4_status,pdlp_1e-4_status,pdlp_1e-5_status,piqp_1e-4_status,qpo3_1e-4_status,qpo3_1e-6_status,qpo3_1e-8_status,qtqp_cudss_1e-4_status,qtqp_cudss_1e-6_status,qtqp_mkl_1e-4_status,qtqp_mkl_1e-6_status,scs_cpu_1e-4_status,scs_cpu_1e-5_status,scs_cudss_1e-4_status,scs_cudss_1e-5_status
mittelmann0,Dual2_5000,33050602.0,63001202.0,126002402.0,0.0,655.17,510.26,134.03,123.46,1890.0,,,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,dual_infeasible,dual_infeasible,optimal_inaccurate,optimal_inaccurate,time_limit,worker_error,worker_error,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit
mittelmann0,a2864,200787.0,222904.0,20279504.0,0.0,1020.39,807.29,3.23,3.19,1807.99,1344.89,1802.44,1890.0,105.25,80.41,66.24,94.58,132.87,1890.0,1890.0,1890.0,1890.0,112.47,167.39,optimal,optimal,optimal_inaccurate,optimal,time_limit,optimal_inaccurate,time_limit,time_limit,optimal,optimal,optimal,optimal_inaccurate,optimal,time_limit,time_limit,time_limit,time_limit,optimal,optimal
mittelmann0,bdry2,250998.0,627497.0,1751000.0,0.0,261.67,388.8,33.51,22.13,1800.14,85.47,1801.1,616.12,88.25,39.96,30.93,29.34,49.75,65.97,139.14,1809.64,1810.56,328.66,511.42,optimal,optimal,optimal_inaccurate,optimal_inaccurate,time_limit,optimal_inaccurate,time_limit,optimal,solver_error,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal
mittelmann0,chromaticindex1024-7,73728.0,141311.0,344052.0,0.0,1.43,1.04,1.82,1.56,34.79,3.22,3.2,0.77,1.17,1.16,1.1,4.47,4.02,4.41,4.77,1.09,1.84,1.91,2.94,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann0,ex10,17680.0,87288.0,1179680.0,0.0,238.07,243.48,1.24,1.2,1715.62,3.63,4.14,1890.0,8.36,4.86,3.76,5.74,5.54,46.6,49.21,11.26,13.55,2.92,4.34,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,time_limit,solver_error,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann0,fhnw-binschedule1,1141653.0,1914525.0,9752979.0,0.0,1890.0,1890.0,279.5,275.44,1800.58,1804.34,1803.94,1890.0,1805.5,1152.72,810.15,205.09,257.02,1890.0,1890.0,1890.0,1890.0,1835.78,1848.96,time_limit,time_limit,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal_inaccurate,optimal,time_limit,time_limit,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate
mittelmann0,graph40-40,102600.0,463500.0,1363500.0,0.0,44.63,46.5,3.27,2.62,1800.1,6.4,6.72,9.93,18.53,14.27,10.79,9.55,8.8,11.41,12.86,4.23,4.49,4.02,6.8,optimal,optimal,optimal_inaccurate,optimal_inaccurate,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal
mittelmann0,neos-3025225,69846.0,161418.0,9427797.0,0.0,376.73,386.6,4.64,5.02,1800.35,389.98,362.01,1890.0,54.18,35.41,28.23,38.73,33.51,226.8,244.43,40.39,79.66,12.3,21.75,optimal,optimal,optimal_inaccurate,optimal_inaccurate,time_limit,optimal,optimal,time_limit,solver_error,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann0,neos-5251015,136971.0,486764.0,1955621.0,0.0,53.26,56.92,4.7,3.71,212.69,215.11,192.42,12.77,41.09,26.11,21.7,12.72,11.46,18.18,19.21,6.01,7.34,6.12,9.42,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann0,qap15,22275.0,28605.0,117225.0,0.0,11.9,14.93,0.79,,1800.01,1.32,4.18,176.77,21.52,8.59,7.04,2.79,2.9,33.88,45.05,33.12,39.51,5.6,8.78,optimal,optimal,optimal_inaccurate,worker_error,time_limit,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann0,scpm1,500000.0,505000.0,6750000.0,0.0,151.61,151.86,4.86,6.74,719.89,322.11,537.05,796.29,108.57,86.57,68.47,58.33,51.75,76.43,94.77,123.47,329.57,65.38,230.55,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
mittelmann0,supportcase19,1429098.0,1439811.0,5716192.0,0.0,114.24,134.95,32.77,21.25,1800.39,1803.03,1802.7,1890.0,705.96,613.37,478.77,135.17,216.33,168.13,358.59,171.14,997.98,125.81,397.11,optimal,optimal,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal
mittelmann0,thk_48,8609262.0,14975639.0,36412140.0,0.0,1890.0,1890.0,70.11,137.74,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0,,,1890.0,1890.0,1890.0,1890.0,,,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,worker_error,worker_error,time_limit,time_limit,time_limit,time_limit,worker_error,worker_error
mittelmann1,Primal2_1000,2559380.0,3858760.0,8057520.0,0.0,1890.0,1890.0,8.63,11.01,1800.55,1682.83,1729.68,1890.0,1808.92,1817.18,1838.81,326.34,407.59,1100.32,1890.0,1835.4,1835.54,783.36,1708.69,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,time_limit,optimal,optimal,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,optimal
mittelmann1,bharat,590519.0,1820456.0,4085965.0,0.0,33.89,96.51,96.23,96.5,1800.31,1802.82,1802.81,1890.0,83.38,170.32,214.31,46.12,62.93,58.4,118.31,668.16,1779.68,740.88,1820.86,optimal,optimal,optimal_inaccurate,optimal_inaccurate,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal_inaccurate
mittelmann1,datt256_lp,262144.0,273221.0,1765876.0,0.0,30.18,37.61,2.37,1.82,1800.09,29.91,44.64,24.89,10.27,12.17,12.46,15.6,14.08,17.35,19.69,5.82,7.84,9.01,10.63,optimal,optimal,optimal_inaccurate,optimal_inaccurate,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal
