dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-4,clarabel_1e-6,cuopt_1e-4,cuopt_1e-5,cuopt_1e-6,highs_1e-4,highs_1e-6,osqp_1e-4,osqp_1e-5,osqp_1e-6,piqp_1e-4,piqp_1e-6,proxqp_1e-4,proxqp_1e-5,proxqp_1e-6,qtqp_cudss_1e-4,qtqp_cudss_1e-6,qtqp_cudss_1e-8,qtqp_mkl_1e-4,qtqp_mkl_1e-6,qtqp_mkl_1e-8,scs_cpu_1e-4,scs_cpu_1e-5,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-5,scs_cudss_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,cuopt_1e-4_status,cuopt_1e-5_status,cuopt_1e-6_status,highs_1e-4_status,highs_1e-6_status,osqp_1e-4_status,osqp_1e-5_status,osqp_1e-6_status,piqp_1e-4_status,piqp_1e-6_status,proxqp_1e-4_status,proxqp_1e-5_status,proxqp_1e-6_status,qtqp_cudss_1e-4_status,qtqp_cudss_1e-6_status,qtqp_cudss_1e-8_status,qtqp_mkl_1e-4_status,qtqp_mkl_1e-6_status,qtqp_mkl_1e-8_status,scs_cpu_1e-4_status,scs_cpu_1e-5_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-5_status,scs_cudss_1e-6_status
maros_meszaros,AUG2D,20200.0,30200.0,60200.0,19800.0,0.06,0.06,5.79,0.72,0.54,0.43,0.32,0.1,0.1,0.09,0.1,0.1,8.92,17.75,19.82,5.77,8.89,9.5,0.33,0.33,0.33,0.4,0.4,0.32,1.14,0.62,1.11,optimal,optimal,solver_error,solver_error,solver_error,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
maros_meszaros,AUG2DC,20200.0,30200.0,60200.0,20200.0,0.06,0.06,0.53,0.82,0.51,0.34,0.3,0.1,0.11,0.1,0.09,0.1,4.3,8.34,9.06,1.15,1.99,1.81,0.31,0.29,0.31,0.27,0.28,0.28,0.82,0.52,0.81,optimal,optimal,solver_error,solver_error,solver_error,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
maros_meszaros,AUG2DCQP,20200.0,30200.0,60200.0,20200.0,0.24,0.26,0.67,0.75,0.6,177.71,106.71,1.24,1.26,1.34,0.14,0.13,32.09,50.36,47.54,1.33,2.02,2.18,0.68,0.7,0.83,0.73,0.76,0.87,1.2,0.85,1.39,optimal,optimal,optimal,optimal,optimal,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
maros_meszaros,AUG2DQP,20200.0,30200.0,60200.0,19800.0,0.25,0.27,0.58,0.75,0.58,129.36,111.46,1.13,1.17,1.21,0.15,0.16,64.35,97.79,90.21,1.37,2.19,2.15,0.72,0.75,0.84,0.72,0.8,0.78,1.24,0.85,1.44,optimal,optimal,optimal,optimal,optimal,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
maros_meszaros,AUG3D,3873.0,4873.0,10419.0,2673.0,0.01,0.01,0.46,0.48,0.56,5.87,5.22,0.02,0.02,0.02,0.02,0.01,0.02,0.04,0.05,0.96,1.51,1.63,0.07,0.07,0.07,0.07,0.06,0.06,0.58,0.33,0.54,optimal,optimal,solver_error,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
maros_meszaros,AUG3DC,3873.0,4873.0,10419.0,3873.0,0.01,0.01,0.47,0.51,0.42,5.9,5.39,0.02,0.02,0.02,0.02,0.01,0.02,0.04,0.05,1.03,1.61,1.52,0.07,0.07,0.07,0.06,0.06,0.06,0.56,0.33,0.56,optimal,optimal,solver_error,solver_error,solver_error,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
maros_meszaros,AUG3DCQP,3873.0,4873.0,10419.0,3873.0,0.04,0.04,0.5,0.75,0.49,195.85,76.86,0.03,0.03,0.03,0.03,0.03,0.67,1.46,1.4,1.03,1.67,1.76,0.15,0.16,0.17,0.14,0.14,0.14,1.19,0.44,0.78,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
maros_meszaros,AUG3DQP,3873.0,4873.0,10419.0,2673.0,0.04,0.04,0.52,0.59,0.49,21.65,11.12,0.03,0.03,0.03,0.03,0.03,1.1,1.96,1.92,1.13,2.32,1.72,0.13,0.16,0.18,0.11,0.11,0.12,0.65,0.39,0.65,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
maros_meszaros,BOYD1,93261.0,93279.0,652246.0,93261.0,2.0,5.87,1.64,1.79,1.59,300.3,300.21,128.26,224.08,295.94,0.91,1.34,390.0,390.0,390.0,3.02,4.56,5.17,3.68,3.63,3.89,2.4,2.53,3.34,3.24,2.25,5.17,optimal_inaccurate,optimal,optimal,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
maros_meszaros,BOYD2,93263.0,279794.0,517047.0,2.0,13.77,12.67,5.48,5.66,5.01,300.16,300.12,300.03,300.03,300.03,2.74,5.8,390.0,390.0,390.0,71.93,312.87,360.0,272.34,248.88,367.84,87.7,303.96,303.16,64.12,301.5,302.36,max_iter_reached,max_iter_reached,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,time_limit,time_limit,time_limit,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
