dataset,problem,n,m,nnz_a,clarabel_1e-4,clarabel_1e-6,clarabel_1e-8,cvxopt_1e-4,cvxopt_1e-6,scs_cpu_1e-4,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-6,sdpa_1e-4,sdpa_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,clarabel_1e-8_status,cvxopt_1e-4_status,cvxopt_1e-6_status,scs_cpu_1e-4_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-6_status,sdpa_1e-4_status,sdpa_1e-6_status
mittelmann_sdp,G40mc,2000.0,2001000.0,2000.0,,,,0.13,0.14,562.28,914.53,822.08,,64.31,88.6,,,,solver_error,solver_error,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,,optimal_inaccurate,optimal
mittelmann_sdp,biggs,1819.0,8463.0,14431.0,44.53,60.73,279.32,85.5,90.57,0.23,0.25,1.64,,0.83,0.87,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,primal_infeasible,primal_infeasible,primal_infeasible,,primal_or_dual_infeasible,primal_or_dual_infeasible
mittelmann_sdp,buck3,544.0,103585.0,7831.0,12.63,16.24,14.95,276.67,312.31,900.27,900.38,903.17,,3.05,3.41,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,,solver_error,solver_error
mittelmann_sdp,cnhil8,1716.0,7260.0,7260.0,21.04,35.21,39.92,22.25,25.32,32.57,900.07,132.73,,2.43,2.65,optimal_inaccurate,optimal,optimal,optimal_inaccurate,max_iter_reached,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,optimal_inaccurate
mittelmann_sdp,rose13,2379.0,5565.0,5564.0,29.24,43.01,30.11,62.03,79.11,0.6,7.67,2.44,,4.32,5.8,optimal_inaccurate,optimal,optimal,optimal_inaccurate,max_iter_reached,optimal_inaccurate,optimal,optimal_inaccurate,,optimal,optimal
mittelmann_sdp,trto3,544.0,52225.0,3902.0,5.15,5.54,4.61,157.85,155.28,900.61,900.48,901.51,,2.21,2.41,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,,solver_error,solver_error
sdplib,arch0,174.0,56280.0,3030.0,10.37,10.38,15.83,30.71,33.39,538.5,900.39,901.11,900.93,2.03,2.15,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,arch2,174.0,56280.0,3420.0,5.39,6.13,8.88,29.15,31.34,333.45,900.15,746.62,900.83,1.92,2.15,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,arch4,174.0,56280.0,3420.0,5.44,5.96,8.12,32.43,32.14,900.28,900.22,900.83,900.83,1.93,2.15,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,arch8,174.0,56280.0,3420.0,6.44,6.67,10.17,44.86,41.52,468.84,900.2,900.78,900.75,1.96,2.15,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
